,Log Rtn,RSI,MACD,%K,BHS
706,0.0017937224540269007,45.67033625098038,0.06767770315261856,0.44761904761904964,1
707,-0.0005121639036412221,45.218436026086145,0.045263515386167796,0.4380952380952386,1
708,0.006128721941373546,51.819431316043776,0.04633201767300932,0.4502923976608203,1
709,-0.004593016494945097,46.92616115785579,0.03228218877896438,0.29113924050632994,1
710,0.006373507872092201,53.902106118930746,0.04084961983031121,0.404109589041098,1
711,0.03520523349111164,75.15422146995903,0.15957510433116084,0.9345794392523362,0
712,0.022320189090587382,81.55591432054513,0.3241654400018348,0.8957055214723918,0
713,0.01381961474279905,84.46717302988809,0.4956915954133194,0.9589041095890415,1
714,-0.012860382055338883,72.22098917701054,0.5813523542637569,0.793565683646112,1
715,0.007403018884453741,74.6549920598798,0.6665697310922951,0.8766756032171581,1
716,0.02583516164272644,81.34672161979898,0.8134885336663089,0.9085239085239091,0
717,0.009920487405007927,83.33172105034367,0.953627327322117,0.9619238476953913,0
718,0.0032088040367847957,83.97245779565642,1.0637232217553318,0.9782178217821783,0
719,0.008204239272652528,85.61331903338967,1.1665764356644885,1.0,1
720,-0.0020447581814783686,83.15751150399863,1.2266856324803257,0.9828244274809154,1
721,-0.006846215695249129,74.89465057119524,1.2358687851710215,0.9255725190839694,2
722,-0.004130340887922514,70.07421422311275,1.2146206138013795,0.8912213740458015,2
723,-0.015058781029998962,55.25578782635234,1.1322795038815627,0.7489711934156381,2
724,-0.01339463100084943,45.51659392746437,1.009393682675075,0.5922551252847383,2
725,0.011993089075560898,53.90439273681615,0.9422963164001956,0.5910543130990416,1
726,-0.005625893882168437,49.74595237900115,0.859843436083402,0.445255474452554,1
727,-0.0009407338417199851,49.01873363721732,0.7822539322900965,0.43065693430656893,2
728,0.018417585523517976,61.75840703967935,0.775569803309125,0.7189781021897801,1
729,0.010341353794732751,67.15319241031561,0.797391983699427,0.836734693877551,1
730,0.0,67.1531924103156,0.805402045444545,0.836734693877551,1
731,-0.00504241270093462,61.50565370795826,0.7849495064078766,0.7244897959183679,1
732,-0.005761048310893761,55.397018660775466,0.7400371238987162,0.5969387755102047,2
733,-0.02101898959832569,39.21766203329267,0.624621016532295,0.26008968609865346,2
734,0.013828885562141563,50.215896107701305,0.5741426302305968,0.5598086124401913,1
735,-0.00466636404376485,46.89683690064578,0.5120966850628221,0.46411483253588387,1
736,-0.007276173399488044,41.93921211063548,0.4329199851728305,0.3157894736842118,2
737,-0.000942729270857073,41.28936011044238,0.36276251391800685,0.29665071770334756,2
738,-0.0037798296833164327,38.533598423990966,0.29089825565377225,0.27876106194690314,2
739,0.0018917007296494126,40.81263058926674,0.23766103615155032,0.3141592920353979,1
740,0.0002362111738869302,41.12746581355363,0.19404029681332702,0.3185840707964621,0
741,0.019413543860666953,60.99671521229064,0.22386404466156762,0.6858407079646021,1
742,-0.0055749273309169825,54.82343450011224,0.22553377252373963,0.5796460176991147,1
743,0.0032558168295500614,57.70459508822493,0.23543986959496976,0.6415929203539821,1
744,-0.00023220712980216927,57.402872550901776,0.23972026052433648,0.6697674418604656,1
745,0.009936534673330092,66.17735136341956,0.2746439826425089,0.8904761904761921,1
746,0.014155487507301273,74.80994462921024,0.34833471669358573,0.9291044776119411,1
747,-0.010712353151978224,61.15680507267682,0.3646071183952131,0.7537313432835834,1
748,-0.0011463947145687926,59.816769872702736,0.3692124802025276,0.7350746268656739,2
749,0.0036638465533221426,62.82441834075237,0.3813766527842972,0.7947761194029861,1
750,0.0,62.82441834075237,0.38656081474682935,0.7947761194029861,1
751,-0.025698832946034363,37.145132142222884,0.2976702201049761,0.38059701492537434,1
752,0.00023449408009894773,37.411068024519004,0.22543205940147004,0.21428571428571283,1
753,0.0028096483011293425,40.87476623980981,0.17583883310213366,0.2714285714285723,1
754,-0.01081345750684115,32.83707287132604,0.09828472323111725,0.05238095238095225,1
755,0.017803234334043155,51.14958965455445,0.0970296830389401,0.38190954773869346,1
756,-0.00023220712980216927,50.93872644273069,0.09414291726969992,0.37688442211055373,1
757,0.004633928588695735,55.20067350217789,0.10676276839328835,0.4773869346733659,1
758,0.011263192278710869,64.03320122704424,0.15452176550272156,0.723618090452262,1
759,-0.0036638465533221543,59.60556300188916,0.17741531861693005,0.6432160804020123,1
760,-0.00022943673382750336,59.309815278941194,0.19253231528911385,0.7470588235294113,2
761,-0.00022948938712304625,58.97219400253329,0.20138429484379827,0.741176470588236,2
762,0.005721494037969825,64.75900517333258,0.22596764868472263,0.8882352941176481,1
763,0.01021691257672935,72.74355792110318,0.27855041709359796,0.9655172413793103,1
764,-0.004981894361861325,64.49990693960406,0.29902352149265,0.6850393700787384,1
765,0.016436258788420303,75.2419964094064,0.36988964577688677,0.9724409448818896,1
766,0.0008928572021722385,75.70675753670359,0.42438715459471865,0.9227941176470584,1
767,-0.004472279368394503,68.30884752701148,0.4462938962087435,0.8492647058823515,1
768,-0.008326817550447877,56.51944217738486,0.4288556579153564,0.7121771217712174,2
769,0.00022596316896499895,56.752211119535346,0.41110369733888774,0.6225490196078415,1
